name,full_name,year,category,abstract_deadline,paper_deadline,deadline_timezone,conf_start,conf_end,location,homepage,status,notes
AIES,AI Ethics and Society,2026,SE,2026-05-14T23:59:00,2026-05-21T23:59:00,UTC-12,2026-10-12,2026-10-14,Malmo Sweden,https://www.aies-conference.com/2026,open,
CIKM,International Conference on Information and Knowledge Management,2026,DM,2026-05-16T23:59:00,2026-05-23T23:59:00,UTC-12,2026-11-07,2026-11-11,Rome Italy,https://cikm2026.diag.uniroma1.it/,open,
EMNLP,Conference on Empirical Methods in Natural Language Processing,2026,NLP,,2026-05-25T23:59:00,UTC-12,2026-10-24,2026-10-29,Budapest Hungary,https://2026.emnlp.org/,open,
CoRL,Conference on Robot Learning,2026,SE,2026-05-25T23:59:00,2026-05-28T23:59:00,UTC-12,2026-11-10,2026-11-12,Austin Texas USA,https://www.corl.org/,open,
ICDM,IEEE International Conference on Data Mining,2026,DM,,2026-06-05T23:59:00,UTC-12,2026-11-12,2026-11-15,Shenyang China,http://icdm2026.neu.edu.cn/,open,
WACV,Winter Conference on Applications of Computer Vision,2027,CV,,2026-06-24T23:59:00,UTC-12,2027-01-04,2027-01-08,Disney Springs Buena Vista FL USA,https://wacv.thecvf.com/Conferences/2027,open,
ICSE,International Conference on Software Engineering,2027,SE,2026-06-23T23:59:00,2026-06-30T23:59:00,UTC-12,2027-04-25,2027-05-01,Dublin Ireland,https://conf.researchr.org/dates/icse-2027,open,
AAAI,AAAI Conference on Artificial Intelligence,2027,ML,2026-07-21T23:59:00,2026-07-28T23:59:00,UTC-12,2027-02-16,2027-02-23,Montréal Québec Canada,https://aaai.org/conference/aaai/aaai-27,tbd,
IEEE Big Data,IEEE International Conference on Big Data,2026,DM,,2026-08-21T23:59:00,UTC-12,2026-12-14,2026-12-17,Phoenix Arizona USA,https://bigdataieee.org/BigData2026/,tbd,
WSDM,ACM International Conference on Web Search and Data Mining,2027,DM,2026-08-17T23:59:00,2026-08-24T23:59:00,UTC-12,2027-02-15,2027-02-19,Hong Kong,https://wsdm-conference.org/2027/,tbd,
NeurIPS,Neural Information Processing Systems,2026,ML,2026-05-04T23:59:00,2026-05-06T23:59:00,UTC-12,2026-12-06,2026-12-12,Sydney Australia,https://neurips.cc/Conferences/2026,closed,
SC,Supercomputing Conference,2026,SE,2026-04-01T23:59:00,2026-04-08T23:59:00,UTC-12,2026-11-15,2026-11-20,Chicago IL USA,https://sc26.supercomputing.org/,closed,
ECCV,European Conference on Computer Vision,2026,CV,,2026-03-06T23:59:00,UTC-12,2026-09-08,2026-09-13,Malmö Sweden,https://eccv.ecva.net/Conferences/2026,closed,
MICCAI,Medical Image Computing and Computer-Assisted Intervention,2026,CV,2026-02-12T23:59:00,2026-02-26T23:59:00,UTC-12,2026-10-04,2026-10-08,Abu Dhabi UAE,https://conferences.miccai.org/2026/en/,closed,
KDD,Knowledge Discovery and Data Mining,2026,DM,2026-02-01T23:59:00,2026-02-08T23:59:00,UTC-12,2026-08-09,2026-08-13,Jeju South Korea,https://kdd2026.kdd.org/,closed,1st cycle Jul 31 2025
ICML,International Conference on Machine Learning,2026,ML,2026-01-23T23:59:00,2026-01-28T23:59:00,UTC-12,2026-07-06,2026-07-11,Seoul South Korea,https://icml.cc/Conferences/2026,closed,
IJCAI,International Joint Conference on Artificial Intelligence,2026,ML,2026-01-12T23:59:00,2026-01-19T23:59:00,UTC-12,2026-08-15,2026-08-21,Bremen Germany,https://2026.ijcai.org/,closed,
ACL,Annual Meeting of the Association for Computational Linguistics,2026,NLP,,2026-01-05T23:59:00,UTC-12,2026-07-02,2026-07-07,San Diego California USA,https://2026.aclweb.org/,closed,
PAKDD,Pacific-Asia Conference on Knowledge Discovery and Data Mining,2026,DM,,2025-11-15T23:59:00,UTC-12,2026-06-09,2026-06-12,Hong Kong,https://pakdd2026.org/,closed,
CVPR,IEEE/CVF Conference on Computer Vision and Pattern Recognition,2026,CV,2025-11-06T23:59:00,2025-11-13T23:59:00,UTC-12,2026-06-06,2026-06-12,Denver Colorado USA,https://cvpr.thecvf.com/Conferences/2026,closed,
MLSys,Conference on Machine Learning Systems,2026,ML,,2025-10-30T23:59:00,UTC-12,2026-05-17,2026-05-22,Bellevue WA USA,https://mlsys.org/Conferences/2026/Dates,closed,
IPDPS,International Parallel and Distributed Processing Symposium,2026,SE,2025-10-02T23:59:00,2025-10-09T23:59:00,UTC-12,2026-05-25,2026-05-29,New Orleans USA,https://www.ipdps.org/ipdps2026/2026-call-for-papers.html,closed,
ICLR,International Conference on Learning Representations,2026,ML,2025-09-19T23:59:00,2025-09-24T23:59:00,UTC-12,2026-04-23,2026-04-27,Rio de Janeiro Brazil,https://iclr.cc/Conferences/2026/CallForPapers,closed,
IEEE Big Data,IEEE International Conference on Big Data,2025,DM,,2025-08-29T23:59:00,UTC-12,2025-12-05,2025-12-08,Macau China,https://conferences.cis.um.edu.mo/ieeebigdata2025/cfp.html,closed,
WACV,Winter Conference on Applications of Computer Vision,2026,CV,,2025-07-18T23:59:00,UTC-12,2026-03-06,2026-03-10,Tucson Arizona USA,https://wacv.thecvf.com/Conferences/2026/Dates,closed,
AAAI,AAAI Conference on Artificial Intelligence,2026,ML,2025-07-07T23:59:00,2025-06-30T23:59:00,UTC-12,2026-01-20,2026-01-27,Singapore,https://aaai.org/conference/aaai/aaai-26/,closed,
ASE,IEEE/ACM International Conference on Automated Software Engineering,2025,SE,,2025-05-30T23:59:00,UTC-12,2025-11-16,2025-11-20,Seoul South Korea,https://conf.researchr.org/home/ase-2025,closed,
CIKM,International Conference on Information and Knowledge Management,2025,DM,2025-05-16T23:59:00,2025-05-23T23:59:00,UTC-12,2025-11-10,2025-11-14,Seoul Korea,http://cikm2025.org,closed,
NeurIPS,Neural Information Processing Systems,2025,ML,2025-05-11T23:59:00,2025-05-15T23:59:00,UTC-12,2025-12-02,2025-12-07,San Diego USA,https://neurips.cc/Conferences/2025,closed,
ICSE,International Conference on Software Engineering,2026,SE,,2025-03-14T23:59:00,UTC-12,2026-04-12,2026-04-18,Rio de Janeiro Brazil,https://conf.researchr.org/dates/icse-2026,closed,
